timestamp,yes_bid,yes_ask,last_price,outcome
2026-04-21T22:15:28.142488+00:00,31,57,55,NO
2026-04-21T22:15:33.122522+00:00,35,39,39,NO
2026-04-21T22:15:38.147061+00:00,35,39,39,NO
2026-04-21T22:15:43.137424+00:00,34,39,34,NO
2026-04-21T22:15:48.122500+00:00,34,39,34,NO
2026-04-21T22:15:53.171018+00:00,33,36,34,NO
2026-04-21T22:15:58.161763+00:00,33,36,34,NO
2026-04-21T22:16:03.143286+00:00,31,33,31,NO
2026-04-21T22:16:08.171482+00:00,31,33,31,NO
2026-04-21T22:16:13.143690+00:00,30,33,31,NO
2026-04-21T22:16:18.181744+00:00,30,33,31,NO
2026-04-21T22:16:23.182982+00:00,30,33,29,NO
2026-04-21T22:16:28.254463+00:00,30,33,29,NO
2026-04-21T22:16:33.194556+00:00,27,32,28,NO
2026-04-21T22:16:38.204923+00:00,27,32,28,NO
2026-04-21T22:16:43.176337+00:00,29,32,32,NO
2026-04-21T22:16:48.298969+00:00,29,32,32,NO
2026-04-21T22:16:53.232716+00:00,29,32,32,NO
2026-04-21T22:16:58.240176+00:00,29,32,32,NO
2026-04-21T22:17:03.211475+00:00,33,35,32,NO
2026-04-21T22:17:08.302904+00:00,33,35,32,NO
2026-04-21T22:17:13.254141+00:00,29,32,32,NO
2026-04-21T22:17:18.166967+00:00,29,32,32,NO
2026-04-21T22:17:23.286082+00:00,24,26,25,NO
2026-04-21T22:17:28.279559+00:00,24,26,25,NO
2026-04-21T22:17:33.296018+00:00,19,21,21,NO
2026-04-21T22:17:38.287619+00:00,19,21,21,NO
2026-04-21T22:17:43.284959+00:00,18,20,19,NO
2026-04-21T22:17:48.357745+00:00,18,20,19,NO
2026-04-21T22:17:53.304112+00:00,17,19,18,NO
2026-04-21T22:17:58.362897+00:00,17,19,18,NO
2026-04-21T22:18:03.366324+00:00,17,20,18,NO
2026-04-21T22:18:08.307213+00:00,17,20,18,NO
2026-04-21T22:18:13.381881+00:00,16,20,17,NO
2026-04-21T22:18:18.310528+00:00,16,20,17,NO
2026-04-21T22:18:23.345855+00:00,10,13,15,NO
2026-04-21T22:18:28.369759+00:00,10,13,15,NO
2026-04-21T22:18:33.310407+00:00,10,11,15,NO
2026-04-21T22:18:38.788316+00:00,10,11,15,NO
2026-04-21T22:18:43.396010+00:00,7,10,8,NO
2026-04-21T22:18:48.342036+00:00,7,10,8,NO
2026-04-21T22:18:53.347396+00:00,8,11,8,NO
2026-04-21T22:18:58.524721+00:00,8,11,8,NO
2026-04-21T22:19:03.361924+00:00,8,11,10,NO
2026-04-21T22:19:08.390931+00:00,8,11,10,NO
2026-04-21T22:19:13.411640+00:00,11,12,11,NO
2026-04-21T22:19:18.309035+00:00,11,12,11,NO
2026-04-21T22:19:23.468369+00:00,6,8,7,NO
2026-04-21T22:19:28.429463+00:00,6,8,7,NO
2026-04-21T22:19:33.376451+00:00,5,6,6,NO
2026-04-21T22:19:38.449026+00:00,5,6,6,NO
2026-04-21T22:19:43.476025+00:00,5,7,5,NO
2026-04-21T22:19:48.442447+00:00,5,7,5,NO
2026-04-21T22:19:53.461730+00:00,7,7,5,NO
2026-04-21T22:19:58.467745+00:00,7,7,5,NO
2026-04-21T22:20:03.427668+00:00,3,5,4,NO
2026-04-21T22:20:08.458579+00:00,3,5,4,NO
2026-04-21T22:20:13.461720+00:00,3,5,5,NO
2026-04-21T22:20:18.428725+00:00,3,5,5,NO
2026-04-21T22:20:23.516131+00:00,4,7,5,NO
2026-04-21T22:20:28.465664+00:00,4,7,5,NO
2026-04-21T22:20:33.447662+00:00,4,6,4,NO
2026-04-21T22:20:38.486884+00:00,4,6,4,NO
2026-04-21T22:20:43.493597+00:00,4,6,4,NO
2026-04-21T22:20:48.568901+00:00,4,6,4,NO
2026-04-21T22:20:53.494345+00:00,4,5,4,NO
2026-04-21T22:20:58.587715+00:00,4,5,4,NO
2026-04-21T22:21:03.489889+00:00,3,6,4,NO
2026-04-21T22:21:08.535851+00:00,3,6,4,NO
2026-04-21T22:21:13.546288+00:00,3,5,6,NO
2026-04-21T22:21:18.549371+00:00,3,5,6,NO
2026-04-21T22:21:23.574848+00:00,3,7,3,NO
2026-04-21T22:21:28.662219+00:00,3,7,3,NO
2026-04-21T22:21:33.652824+00:00,3,4,5,NO
2026-04-21T22:21:38.582197+00:00,3,4,5,NO
2026-04-21T22:21:43.590271+00:00,3,4,4,NO
2026-04-21T22:21:48.571759+00:00,3,4,4,NO
