timestamp,yes_bid,yes_ask,last_price,outcome
2026-04-21T18:45:30.943372+00:00,43,44,42,YES
2026-04-21T18:45:35.958020+00:00,43,47,47,YES
2026-04-21T18:45:41.012618+00:00,43,47,47,YES
2026-04-21T18:45:45.961494+00:00,54,58,50,YES
2026-04-21T18:45:50.978363+00:00,54,58,50,YES
2026-04-21T18:45:55.980050+00:00,55,60,60,YES
2026-04-21T18:46:01.080123+00:00,55,60,60,YES
2026-04-21T18:46:05.994320+00:00,55,60,60,YES
2026-04-21T18:46:11.080445+00:00,55,60,60,YES
2026-04-21T18:46:16.012350+00:00,57,62,61,YES
2026-04-21T18:46:21.017621+00:00,57,62,61,YES
2026-04-21T18:46:26.002297+00:00,60,65,64,YES
2026-04-21T18:46:31.014291+00:00,60,65,64,YES
2026-04-21T18:46:36.021207+00:00,57,61,60,YES
2026-04-21T18:46:41.050569+00:00,57,61,60,YES
2026-04-21T18:46:46.087898+00:00,57,59,58,YES
2026-04-21T18:46:51.040465+00:00,57,59,58,YES
2026-04-21T18:46:56.040736+00:00,52,57,54,YES
2026-04-21T18:47:01.024976+00:00,52,57,54,YES
2026-04-21T18:47:06.096523+00:00,55,58,57,YES
2026-04-21T18:47:11.046024+00:00,55,58,57,YES
2026-04-21T18:47:16.047329+00:00,56,61,57,YES
2026-04-21T18:47:21.075060+00:00,56,61,57,YES
2026-04-21T18:47:26.047550+00:00,56,61,63,YES
2026-04-21T18:47:31.076237+00:00,56,61,63,YES
2026-04-21T18:47:36.105313+00:00,45,49,46,YES
2026-04-21T18:47:41.090296+00:00,45,49,46,YES
2026-04-21T18:47:46.086465+00:00,43,47,46,YES
2026-04-21T18:47:51.106992+00:00,43,47,46,YES
2026-04-21T18:47:56.099516+00:00,42,46,40,YES
2026-04-21T18:48:01.081873+00:00,42,46,40,YES
2026-04-21T18:48:06.107084+00:00,50,52,47,YES
2026-04-21T18:48:11.111924+00:00,50,52,47,YES
2026-04-21T18:48:16.159078+00:00,45,47,49,YES
