timestamp,yes_bid,yes_ask,last_price,outcome
2026-04-21T20:00:11.603510+00:00,25,75,0,YES
2026-04-21T20:00:16.240867+00:00,25,75,0,YES
2026-04-21T20:00:22.801457+00:00,25,75,0,YES
2026-04-21T20:00:27.073881+00:00,33,39,0,YES
2026-04-21T20:00:31.710219+00:00,33,39,0,YES
2026-04-21T20:00:36.338045+00:00,31,37,34,YES
2026-04-21T20:00:41.453551+00:00,31,37,34,YES
2026-04-21T20:00:46.291179+00:00,30,36,34,YES
2026-04-21T20:00:51.314890+00:00,30,36,34,YES
2026-04-21T20:00:55.963837+00:00,31,36,34,YES
2026-04-21T20:01:00.207971+00:00,31,36,34,YES
2026-04-21T20:01:05.061757+00:00,31,36,34,YES
2026-04-21T20:01:10.173606+00:00,39,40,34,YES
2026-04-21T20:01:15.133758+00:00,39,40,34,YES
2026-04-21T20:01:20.109884+00:00,33,38,34,YES
2026-04-21T20:01:25.115718+00:00,33,38,34,YES
2026-04-21T20:01:30.160421+00:00,35,40,39,YES
2026-04-21T20:01:35.111618+00:00,35,40,39,YES
2026-04-21T20:01:40.168157+00:00,53,58,50,YES
2026-04-21T20:01:45.145909+00:00,53,58,50,YES
2026-04-21T20:01:50.109130+00:00,56,60,58,YES
2026-04-21T20:01:55.142255+00:00,56,60,58,YES
2026-04-21T20:02:00.159770+00:00,48,52,58,YES
2026-04-21T20:02:05.126572+00:00,48,52,58,YES
2026-04-21T20:02:10.210571+00:00,52,57,58,YES
2026-04-21T20:02:15.302462+00:00,52,57,58,YES
2026-04-21T20:02:20.254947+00:00,49,54,54,YES
2026-04-21T20:02:25.311863+00:00,49,54,54,YES
2026-04-21T20:02:30.214273+00:00,45,51,49,YES
2026-04-21T20:02:35.164356+00:00,45,51,49,YES
2026-04-21T20:02:40.179822+00:00,38,44,44,YES
2026-04-21T20:02:45.308829+00:00,38,44,44,YES
2026-04-21T20:02:50.210384+00:00,38,42,44,YES
2026-04-21T20:02:55.203648+00:00,38,42,44,YES
2026-04-21T20:03:00.203054+00:00,39,40,39,YES
2026-04-21T20:03:05.284496+00:00,39,40,39,YES
2026-04-21T20:03:10.289289+00:00,33,37,39,YES
2026-04-21T20:03:15.237535+00:00,33,37,39,YES
2026-04-21T20:03:20.304693+00:00,44,49,39,YES
2026-04-21T20:03:25.262615+00:00,44,49,39,YES
2026-04-21T20:03:30.284933+00:00,43,48,39,YES
2026-04-21T20:03:35.269780+00:00,43,48,39,YES
2026-04-21T20:03:40.308513+00:00,43,47,39,YES
2026-04-21T20:03:45.433616+00:00,43,47,39,YES
2026-04-21T20:03:50.334116+00:00,44,48,39,YES
2026-04-21T20:03:55.764228+00:00,44,48,39,YES
2026-04-21T20:04:00.752547+00:00,52,56,51,YES
2026-04-21T20:04:05.929208+00:00,52,56,51,YES
2026-04-21T20:04:10.380894+00:00,52,56,51,YES
2026-04-21T20:04:15.367393+00:00,52,56,51,YES
2026-04-21T20:04:20.455610+00:00,57,60,51,YES
2026-04-21T20:04:25.368551+00:00,57,60,51,YES
2026-04-21T20:04:30.319444+00:00,57,63,60,YES
2026-04-21T20:04:35.431751+00:00,57,63,60,YES
2026-04-21T20:04:40.308813+00:00,51,56,60,YES
2026-04-21T20:04:45.324117+00:00,51,56,60,YES
2026-04-21T20:04:50.328488+00:00,48,54,75,YES
2026-04-21T20:04:55.397894+00:00,48,54,75,YES
2026-04-21T20:05:00.386287+00:00,46,51,48,YES
2026-04-21T20:05:05.343261+00:00,46,51,48,YES
2026-04-21T20:05:10.361979+00:00,47,52,51,YES
2026-04-21T20:05:15.403584+00:00,47,52,51,YES
2026-04-21T20:05:20.405169+00:00,48,53,51,YES
2026-04-21T20:05:25.382069+00:00,48,53,51,YES
2026-04-21T20:05:30.363147+00:00,45,48,46,YES
2026-04-21T20:05:35.481461+00:00,45,48,46,YES
2026-04-21T20:05:40.428957+00:00,45,50,46,YES
2026-04-21T20:05:45.439300+00:00,45,50,46,YES
2026-04-21T20:05:50.423684+00:00,40,44,45,YES
2026-04-21T20:05:55.399353+00:00,40,44,45,YES
2026-04-21T20:06:00.406014+00:00,33,36,35,YES
2026-04-21T20:06:05.414050+00:00,33,36,35,YES
2026-04-21T20:06:10.468689+00:00,30,33,31,YES
2026-04-21T20:06:15.429150+00:00,30,33,31,YES
2026-04-21T20:06:20.501383+00:00,30,33,33,YES
2026-04-21T20:06:25.445704+00:00,30,33,33,YES
2026-04-21T20:06:30.522640+00:00,33,38,35,YES
2026-04-21T20:06:35.577674+00:00,33,38,35,YES
2026-04-21T20:06:40.446402+00:00,33,38,38,YES
2026-04-21T20:06:45.490688+00:00,33,38,38,YES
2026-04-21T20:06:50.522042+00:00,30,33,33,YES
2026-04-21T20:06:55.523845+00:00,30,33,33,YES
2026-04-21T20:07:00.502504+00:00,25,28,30,YES
2026-04-21T20:07:05.535723+00:00,25,28,30,YES
2026-04-21T20:07:10.495222+00:00,25,29,30,YES
2026-04-21T20:07:15.524831+00:00,25,29,30,YES
2026-04-21T20:07:20.552701+00:00,21,25,25,YES
2026-04-21T20:07:25.521205+00:00,21,25,25,YES
2026-04-21T20:07:30.495046+00:00,18,19,20,YES
2026-04-21T20:07:35.498340+00:00,18,19,20,YES
2026-04-21T20:07:40.487307+00:00,20,24,24,YES
2026-04-21T20:07:45.516141+00:00,20,24,24,YES
2026-04-21T20:07:50.540911+00:00,19,20,19,YES
2026-04-21T20:07:55.567611+00:00,19,20,19,YES
2026-04-21T20:08:00.551502+00:00,17,19,18,YES
2026-04-21T20:08:05.536738+00:00,17,19,18,YES
2026-04-21T20:08:10.575001+00:00,14,17,13,YES
2026-04-21T20:08:15.555621+00:00,14,17,13,YES
2026-04-21T20:08:20.561096+00:00,18,20,13,YES
2026-04-21T20:08:25.568437+00:00,18,20,13,YES
2026-04-21T20:08:30.640725+00:00,16,20,17,YES
2026-04-21T20:08:35.669832+00:00,16,20,17,YES
2026-04-21T20:08:40.598470+00:00,24,25,21,YES
2026-04-21T20:08:45.584404+00:00,24,25,21,YES
2026-04-21T20:08:50.668820+00:00,22,26,26,YES
2026-04-21T20:08:55.673482+00:00,22,26,26,YES
2026-04-21T20:09:00.627176+00:00,28,32,28,YES
2026-04-21T20:09:05.651096+00:00,28,32,28,YES
2026-04-21T20:09:10.670418+00:00,25,29,29,YES
2026-04-21T20:09:15.644402+00:00,25,29,29,YES
2026-04-21T20:09:20.723637+00:00,18,22,24,YES
2026-04-21T20:09:25.753880+00:00,18,22,24,YES
2026-04-21T20:09:30.664861+00:00,22,28,24,YES
2026-04-21T20:09:35.711727+00:00,22,28,24,YES
2026-04-21T20:09:40.661297+00:00,37,42,32,YES
2026-04-21T20:09:45.741456+00:00,37,42,32,YES
2026-04-21T20:09:50.670035+00:00,87,91,90,YES
2026-04-21T20:09:55.724484+00:00,87,91,90,YES
2026-04-21T20:10:00.681791+00:00,93,95,95,YES
2026-04-21T20:10:05.683136+00:00,93,95,95,YES
2026-04-21T20:10:10.728697+00:00,94,95,95,YES
2026-04-21T20:10:15.685506+00:00,94,95,95,YES
2026-04-21T20:10:20.671849+00:00,96,99,96,YES
2026-04-21T20:10:25.712815+00:00,96,99,96,YES
2026-04-21T20:10:30.722833+00:00,97,99,97,YES
2026-04-21T20:10:35.734076+00:00,97,99,97,YES
2026-04-21T20:10:40.718180+00:00,97,99,97,YES
2026-04-21T20:10:45.766070+00:00,97,99,97,YES
2026-04-21T20:10:50.815033+00:00,97,99,97,YES
2026-04-21T20:10:55.766244+00:00,97,99,97,YES
2026-04-21T20:11:00.811362+00:00,98,99,99,YES
2026-04-21T20:11:05.787035+00:00,98,99,99,YES
2026-04-21T20:11:10.782806+00:00,98,99,99,YES
2026-04-21T20:11:15.802589+00:00,98,99,99,YES
2026-04-21T20:11:20.846427+00:00,98,99,99,YES
2026-04-21T20:11:25.899805+00:00,98,99,99,YES
2026-04-21T20:11:30.840847+00:00,98,99,99,YES
2026-04-21T20:11:35.796702+00:00,98,99,99,YES
2026-04-21T20:11:40.803711+00:00,98,99,99,YES
2026-04-21T20:11:45.824353+00:00,98,99,99,YES
2026-04-21T20:11:50.896851+00:00,99,99,99,YES
2026-04-21T20:11:55.845779+00:00,99,99,99,YES
2026-04-21T20:12:00.884481+00:00,99,99,99,YES
2026-04-21T20:12:05.809747+00:00,99,99,99,YES
2026-04-21T20:12:10.846010+00:00,99,99,99,YES
2026-04-21T20:12:15.864426+00:00,99,99,99,YES
2026-04-21T20:12:20.840996+00:00,99,99,99,YES
2026-04-21T20:12:25.892137+00:00,99,99,99,YES
2026-04-21T20:12:30.880232+00:00,99,99,99,YES
2026-04-21T20:12:35.849740+00:00,99,99,99,YES
2026-04-21T20:12:40.885329+00:00,99,99,99,YES
2026-04-21T20:12:46.010079+00:00,99,99,99,YES
2026-04-21T20:12:50.892560+00:00,99,99,99,YES
2026-04-21T20:12:55.990477+00:00,99,99,99,YES
2026-04-21T20:13:00.948595+00:00,99,99,99,YES
2026-04-21T20:13:05.929179+00:00,99,99,99,YES
2026-04-21T20:13:10.934747+00:00,99,99,99,YES
2026-04-21T20:13:15.957203+00:00,99,99,99,YES
2026-04-21T20:13:20.991594+00:00,99,99,99,YES
2026-04-21T20:13:26.106996+00:00,99,99,99,YES
2026-04-21T20:13:31.024122+00:00,99,100,100,YES
2026-04-21T20:13:35.938802+00:00,99,100,100,YES
2026-04-21T20:13:41.031527+00:00,99,100,100,YES
2026-04-21T20:13:46.092416+00:00,99,100,100,YES
2026-04-21T20:13:50.959367+00:00,99,100,100,YES
2026-04-21T20:13:56.027407+00:00,99,100,100,YES
2026-04-21T20:14:01.073433+00:00,99,100,100,YES
2026-04-21T20:14:05.972222+00:00,99,100,100,YES
2026-04-21T20:14:11.030683+00:00,99,100,100,YES
2026-04-21T20:14:16.009496+00:00,99,100,100,YES
2026-04-21T20:14:20.987627+00:00,99,100,100,YES
2026-04-21T20:14:26.099895+00:00,99,100,100,YES
2026-04-21T20:14:31.029601+00:00,99,100,100,YES
2026-04-21T20:14:36.011668+00:00,99,100,100,YES
2026-04-21T20:14:41.069165+00:00,99,100,100,YES
2026-04-21T20:14:46.067296+00:00,99,100,100,YES
2026-04-21T20:14:51.021837+00:00,100,100,100,YES
2026-04-21T20:14:56.071803+00:00,100,100,100,YES
2026-04-21T20:15:01.059822+00:00,99,100,99,YES
2026-04-21T20:15:06.056524+00:00,99,100,99,YES
2026-04-21T20:15:11.106170+00:00,0,100,99,YES
2026-04-21T20:15:16.106099+00:00,0,100,99,YES
