timestamp,yes_bid,yes_ask,last_price,outcome
2026-04-21T20:15:21.134847+00:00,25,75,0,YES
2026-04-21T20:15:26.184110+00:00,25,75,0,YES
2026-04-21T20:15:31.116678+00:00,42,74,0,YES
2026-04-21T20:15:36.142597+00:00,42,74,0,YES
2026-04-21T20:15:41.138559+00:00,43,49,42,YES
2026-04-21T20:15:46.241553+00:00,43,49,42,YES
2026-04-21T20:15:51.174974+00:00,40,45,42,YES
2026-04-21T20:15:56.268123+00:00,40,45,42,YES
2026-04-21T20:16:01.227082+00:00,40,45,40,YES
2026-04-21T20:16:06.170824+00:00,40,45,40,YES
2026-04-21T20:16:11.183807+00:00,41,46,40,YES
2026-04-21T20:16:16.254748+00:00,41,46,40,YES
2026-04-21T20:16:21.205147+00:00,42,46,40,YES
2026-04-21T20:16:26.271443+00:00,42,46,40,YES
2026-04-21T20:16:31.215203+00:00,40,46,40,YES
2026-04-21T20:16:36.244473+00:00,40,46,40,YES
2026-04-21T20:16:41.347288+00:00,40,45,40,YES
2026-04-21T20:16:46.209699+00:00,40,45,40,YES
2026-04-21T20:16:51.326751+00:00,44,49,40,YES
2026-04-21T20:16:56.213256+00:00,44,49,40,YES
2026-04-21T20:17:01.320912+00:00,44,47,40,YES
2026-04-21T20:17:06.278571+00:00,44,47,40,YES
2026-04-21T20:17:11.255986+00:00,51,57,47,YES
2026-04-21T20:17:16.296433+00:00,51,57,47,YES
2026-04-21T20:17:21.223305+00:00,50,56,47,YES
2026-04-21T20:17:26.311350+00:00,50,56,47,YES
2026-04-21T20:17:31.277946+00:00,54,58,54,YES
2026-04-21T20:17:36.312273+00:00,54,58,54,YES
2026-04-21T20:17:41.277351+00:00,51,56,56,YES
2026-04-21T20:17:46.332651+00:00,51,56,56,YES
2026-04-21T20:17:51.282896+00:00,53,57,56,YES
2026-04-21T20:17:56.313180+00:00,53,57,56,YES
2026-04-21T20:18:01.339054+00:00,52,57,56,YES
2026-04-21T20:18:06.326044+00:00,52,57,56,YES
2026-04-21T20:18:11.320991+00:00,49,54,54,YES
2026-04-21T20:18:16.308398+00:00,49,54,54,YES
2026-04-21T20:18:21.311422+00:00,52,57,54,YES
2026-04-21T20:18:26.320674+00:00,52,57,54,YES
2026-04-21T20:18:31.312265+00:00,52,57,54,YES
2026-04-21T20:18:36.304346+00:00,55,60,75,YES
2026-04-21T20:18:41.539973+00:00,48,53,60,YES
2026-04-21T20:18:46.341946+00:00,48,53,60,YES
2026-04-21T20:18:51.364984+00:00,48,53,60,YES
2026-04-21T20:18:56.357126+00:00,47,51,60,YES
2026-04-21T20:19:01.364349+00:00,47,51,60,YES
2026-04-21T20:19:06.400820+00:00,45,50,60,YES
2026-04-21T20:19:11.607690+00:00,45,50,60,YES
2026-04-21T20:19:16.559558+00:00,44,48,50,YES
2026-04-21T20:19:21.707944+00:00,44,48,50,YES
2026-04-21T20:19:26.388032+00:00,44,48,50,YES
2026-04-21T20:19:31.401948+00:00,44,48,50,YES
2026-04-21T20:19:36.363391+00:00,50,54,49,YES
2026-04-21T20:19:41.417222+00:00,50,54,49,YES
2026-04-21T20:19:46.389477+00:00,44,64,49,YES
2026-04-21T20:19:51.370873+00:00,44,64,49,YES
2026-04-21T20:19:56.498626+00:00,41,45,42,YES
2026-04-21T20:20:01.455761+00:00,41,45,42,YES
2026-04-21T20:20:06.499844+00:00,41,45,42,YES
2026-04-21T20:20:11.531699+00:00,41,45,42,YES
2026-04-21T20:20:16.447595+00:00,46,50,50,YES
2026-04-21T20:20:21.577580+00:00,46,50,50,YES
2026-04-21T20:20:26.495283+00:00,50,54,50,YES
2026-04-21T20:20:31.494421+00:00,50,54,50,YES
2026-04-21T20:20:36.446592+00:00,56,60,55,YES
2026-04-21T20:20:41.504521+00:00,56,60,55,YES
2026-04-21T20:20:46.570563+00:00,53,58,55,YES
2026-04-21T20:20:51.513602+00:00,53,58,55,YES
2026-04-21T20:20:56.577389+00:00,58,60,55,YES
2026-04-21T20:21:01.536780+00:00,58,60,55,YES
2026-04-21T20:21:06.525563+00:00,60,62,61,YES
2026-04-21T20:21:11.514373+00:00,60,62,61,YES
2026-04-21T20:21:16.541673+00:00,60,62,61,YES
2026-04-21T20:21:21.552458+00:00,60,62,61,YES
2026-04-21T20:21:26.560851+00:00,60,62,61,YES
2026-04-21T20:21:31.600130+00:00,60,62,61,YES
2026-04-21T20:21:36.585087+00:00,47,50,50,YES
2026-04-21T20:21:41.558686+00:00,47,50,50,YES
2026-04-21T20:21:46.619598+00:00,46,50,45,YES
2026-04-21T20:21:51.601981+00:00,46,50,45,YES
2026-04-21T20:21:56.627633+00:00,46,50,45,YES
2026-04-21T20:22:01.576275+00:00,46,50,45,YES
2026-04-21T20:22:06.652179+00:00,45,48,45,YES
2026-04-21T20:22:11.650065+00:00,45,48,45,YES
2026-04-21T20:22:16.733698+00:00,45,50,45,YES
2026-04-21T20:22:21.627510+00:00,45,50,45,YES
2026-04-21T20:22:26.632330+00:00,49,50,45,YES
2026-04-21T20:22:31.674671+00:00,49,50,45,YES
2026-04-21T20:22:36.621770+00:00,49,50,45,YES
2026-04-21T20:22:41.656331+00:00,49,50,45,YES
2026-04-21T20:22:46.636096+00:00,51,55,50,YES
2026-04-21T20:22:51.636831+00:00,51,55,50,YES
2026-04-21T20:22:56.809537+00:00,53,59,55,YES
2026-04-21T20:23:01.718638+00:00,53,59,55,YES
2026-04-21T20:23:06.679632+00:00,54,58,55,YES
2026-04-21T20:23:11.769055+00:00,54,58,55,YES
2026-04-21T20:23:16.789225+00:00,61,65,56,YES
2026-04-21T20:23:21.737070+00:00,61,65,56,YES
2026-04-21T20:23:26.739031+00:00,61,66,62,YES
2026-04-21T20:23:31.896119+00:00,61,66,62,YES
2026-04-21T20:23:36.724315+00:00,53,58,54,YES
2026-04-21T20:23:41.760927+00:00,53,58,54,YES
2026-04-21T20:23:46.717712+00:00,55,59,54,YES
2026-04-21T20:23:51.772863+00:00,55,59,54,YES
2026-04-21T20:23:56.756680+00:00,54,59,54,YES
2026-04-21T20:24:01.793839+00:00,54,59,54,YES
2026-04-21T20:24:06.740132+00:00,54,59,59,YES
2026-04-21T20:24:11.849537+00:00,54,59,59,YES
2026-04-21T20:24:16.801151+00:00,57,63,59,YES
2026-04-21T20:24:21.815186+00:00,57,63,59,YES
2026-04-21T20:24:26.772413+00:00,64,69,59,YES
2026-04-21T20:24:31.815440+00:00,64,69,59,YES
2026-04-21T20:24:36.772384+00:00,67,72,59,YES
2026-04-21T20:24:41.846921+00:00,67,72,59,YES
2026-04-21T20:24:46.801781+00:00,68,72,59,YES
2026-04-21T20:24:51.796760+00:00,68,72,59,YES
2026-04-21T20:24:56.865026+00:00,70,74,59,YES
2026-04-21T20:25:01.898426+00:00,70,74,59,YES
2026-04-21T20:25:07.046932+00:00,65,69,68,YES
2026-04-21T20:25:11.887919+00:00,65,69,68,YES
2026-04-21T20:25:17.422199+00:00,70,75,71,YES
2026-04-21T20:25:21.868146+00:00,70,75,71,YES
2026-04-21T20:25:26.875619+00:00,72,74,74,YES
2026-04-21T20:25:31.971678+00:00,72,74,74,YES
2026-04-21T20:25:36.882091+00:00,72,74,74,YES
2026-04-21T20:25:41.854681+00:00,72,74,74,YES
2026-04-21T20:25:46.851391+00:00,73,74,73,YES
2026-04-21T20:25:51.959973+00:00,73,74,73,YES
2026-04-21T20:25:56.918006+00:00,66,70,73,YES
2026-04-21T20:26:01.922983+00:00,66,70,73,YES
2026-04-21T20:26:06.881773+00:00,74,76,76,YES
2026-04-21T20:26:11.916184+00:00,74,76,76,YES
2026-04-21T20:26:16.955610+00:00,70,74,76,YES
2026-04-21T20:26:22.209156+00:00,70,74,76,YES
2026-04-21T20:26:26.922838+00:00,76,77,77,YES
2026-04-21T20:26:31.928065+00:00,76,77,77,YES
2026-04-21T20:26:36.923914+00:00,76,78,77,YES
2026-04-21T20:26:41.996680+00:00,76,78,77,YES
2026-04-21T20:26:47.091531+00:00,76,84,83,YES
2026-04-21T20:26:51.934656+00:00,76,84,83,YES
2026-04-21T20:26:56.975035+00:00,77,84,83,YES
2026-04-21T20:27:01.945061+00:00,77,84,83,YES
2026-04-21T20:27:06.960336+00:00,85,90,85,YES
2026-04-21T20:27:12.039035+00:00,85,90,85,YES
2026-04-21T20:27:16.962402+00:00,85,95,95,YES
2026-04-21T20:27:21.963672+00:00,85,95,95,YES
2026-04-21T20:27:27.058744+00:00,85,95,95,YES
2026-04-21T20:27:31.985252+00:00,85,95,95,YES
2026-04-21T20:27:37.003285+00:00,86,95,95,YES
2026-04-21T20:27:42.017597+00:00,86,95,95,YES
2026-04-21T20:27:47.100869+00:00,95,96,95,YES
2026-04-21T20:27:52.023800+00:00,95,96,95,YES
2026-04-21T20:27:57.080304+00:00,95,97,97,YES
2026-04-21T20:28:01.996656+00:00,95,97,97,YES
2026-04-21T20:28:07.063990+00:00,97,99,99,YES
2026-04-21T20:28:12.089001+00:00,97,99,99,YES
2026-04-21T20:28:17.009308+00:00,95,98,98,YES
